Title,Cleaned_Content,Publication_Date,Source_URL,Category
Artist rejects photo prize after AI-generated image wins award,A German artist has rejected an award from a prestigious international photography competition after revealing that his submission was generated by Artificial Intelligence (AI).,"Tue, 18 Apr 2023 15:27:54 GMT",https://www.cnn.com/style/article/ai-photo-win-sony-scli-intl/index.html,Others
These ships disappeared in Lake Superior a century ago. Watch as they're found again,"The Great Lakes Shipwreck Historical Society has found two of three ships that sank in the same Lake Superior storm more than a century ago, locating one in 2021 and the other in 2022.","Tue, 18 Apr 2023 19:29:01 GMT",https://www.cnn.com/videos/travel/2023/04/18/century-old-shipwrecks-lake-superior-discovery-contd-orig-zt.cnn,Others
Erotic images of seniors show sex and intimacy in new light,"What does intimacy look like for seniors? There's no end to sex scenes and other steamy content featuring the young and unwrinkled, but past a certain age, popular culture largely draws a blank — or treats sex as a punchline.","Tue, 18 Apr 2023 03:24:57 GMT",https://www.cnn.com/style/article/marilyn-minter-artist-elder-sex/index.html,Others
"China's economy is off to a solid start, rising 4.5% in Q1 2023",China's economy is off to a solid start in 2023 following its emergence from three years of strict pandemic restrictions.,"Tue, 18 Apr 2023 07:01:12 GMT",https://www.cnn.com/2023/04/17/economy/china-gdp-q1-2023-intl-hnk/index.html,Others
"Even when wives make as much as husbands, they still do more at home",• Four out of the five US metro areas with the lowest unemployment are in Florida. Here's why • Opinion: The overlooked problem with raising the retirement age for Social Security,"Sun, 16 Apr 2023 17:29:49 GMT",https://www.cnn.com/2023/04/16/success/husbands-wives-earning-division-of-labor-pew-survey/index.html,Others
McDonald's is upgrading its burgers,"McDonald's, which has been focusing on upgrading its core items to boost sales, is rolling out a series of changes designed to improve its signature burgers.","Mon, 17 Apr 2023 16:31:30 GMT",https://www.cnn.com/2023/04/17/business/mcdonalds-burgers/index.html,Others
Google-parent stock drops on fears it could lose search market share to AI-powered rivals,"Shares of Google-parent Alphabet fell more than 3% in early trading Monday after a report sparked concerns that its core search engine could lose market share to AI-powered rivals, including Microsoft's Bing.","Mon, 17 Apr 2023 15:52:19 GMT",https://www.cnn.com/2023/04/17/tech/google-ai-search-engine-stock-drop/index.html,Others
Bidets save you money and reduce waste — we tested the best options out there,,,https://www.cnn.com/cnn-underscored/reviews/best-bidets?iid=CNNUnderscoredHPcontainer,Others
50+ products to make your life easier and our planet cleaner,,,https://www.cnn.com/cnn-underscored/home/editors-favorite-sustainable-products?iid=CNNUnderscoredHPcontainer,Others
Mother's Day is around the corner. Here are 50+ thoughtful gifts she'll love,,,https://www.cnn.com/cnn-underscored/gifts/best-mothers-day-gifts-2023?iid=CNNUnderscoredHPcontainer,Others
"A head-to-toe guide of how men should dress this spring, and where they should shop",,,https://www.cnn.com/cnn-underscored/fashion/mens-spring-fashion-style-guide?iid=CNNUnderscoredHPcontainer,Others
42 of the most useful travel products you can buy on Amazon,,,https://www.cnn.com/cnn-underscored/travel/amazon-travel-products?iid=CNNUnderscoredHPcontainer,Others
The 7 best high-yield savings accounts of April 2023,,,https://www.cnn.com/cnn-underscored/money/high-yield-savings-accounts?iid=CNNUnderscoredHPcontainer,Others
Taxes are due tomorrow. Here's how to file for an extension,,,https://www.cnn.com/cnn-underscored/money/how-to-file-taxes?iid=CNNUnderscoredHPcontainer,Others
